airport_name,country,iata,status
Paulus Hook Pier Heliport,US,N/A,Ghost Airport
Gary Fox Airport,US,N/A,Ghost Airport
Baker Ranches Airport,US,N/A,Ghost Airport
Oswego County At Pulaski Heliport,US,N/A,Ghost Airport
Drill Field Pad Heliport,US,N/A,Ghost Airport
Eaglecrest Field,US,N/A,Ghost Airport
Dorlon Airpark,US,N/A,Ghost Airport
Peacock Ranch Airport,US,N/A,Ghost Airport
PECO Mob. Heliport,US,N/A,Ghost Airport
State Police Area Iii Heliport,US,N/A,Ghost Airport
Mills Brothers Airport,US,N/A,Ghost Airport
Vernonia Airfield,US,N/A,Ghost Airport
Brandes Air Field,US,N/A,Ghost Airport
Hilde-Griff Field,US,N/A,Ghost Airport
Dew Drop Airport,US,N/A,Ghost Airport
Circle A Ranch Airport,US,N/A,Ghost Airport
Blanca Airport,US,N/A,Ghost Airport
Providence Airport,US,N/A,Ghost Airport
Port of Highgate Springs Heliport,US,N/A,Ghost Airport
Sacred Heart Medical Center Helistop,US,N/A,Ghost Airport
Ames Private Airport,US,N/A,Ghost Airport
Flat Creek Field,US,N/A,Ghost Airport
Moore County Hospital District Heliport,US,N/A,Ghost Airport
Johnson Memorial Airport,US,N/A,Ghost Airport
Henning Municipal Airport,US,N/A,Ghost Airport
Twisted Sisters Airport,US,N/A,Ghost Airport
June Lake Airpark,US,N/A,Ghost Airport
Brown Stagefield Army Heliport,US,N/A,Ghost Airport
Bondair Airport,US,N/A,Ghost Airport
Mercy Gilbert Medical Center Heliport,US,N/A,Ghost Airport
Lucky Landing Marina and Seaplane Base,US,N/A,Ghost Airport
SCE Solar I Heliport,US,N/A,Ghost Airport
ABC7-TV Heliport,US,N/A,Ghost Airport
Jecan Airport,US,N/A,Ghost Airport
William P Gwinn Airport,US,N/A,Ghost Airport
Grass Roots Airpark,US,N/A,Ghost Airport
Morton Plant Hospital Heliport,US,N/A,Ghost Airport
Smith Heliport,US,N/A,Ghost Airport
Patoka Reservoir Landing Area Seaplane Base,US,N/A,Ghost Airport
Rich Field,US,N/A,Ghost Airport
Larkin Airport,US,N/A,Ghost Airport
Humm Airport,US,N/A,Ghost Airport
Sinele Strip,US,N/A,Ghost Airport
Riverside Hospital Airlift Heliport,US,N/A,Ghost Airport
Panther Helicopters Inc Heliport,US,N/A,Ghost Airport
Tembec Heliport,US,N/A,Ghost Airport
The Barn Heliport,US,N/A,Ghost Airport
Johns Hopkins Bayview Hospital Heliport,US,N/A,Ghost Airport
Barker Heliport,US,N/A,Ghost Airport
Henry Ford Jackson Hospital Heliport,US,N/A,Ghost Airport
Noahs Ark Airport,US,N/A,Ghost Airport
Torgerson Airport,US,N/A,Ghost Airport
Randall Airport,US,N/A,Ghost Airport
Tailwinds Airport,US,N/A,Ghost Airport
Fitterer's Strip,US,N/A,Ghost Airport
St Marys Hospital Heliport,US,N/A,Ghost Airport
Cole Farm Airport,US,N/A,Ghost Airport
Silver Creek Airport,US,N/A,Ghost Airport
Murphy Field,US,N/A,Ghost Airport
Saint Elizabeth Medical Center Heliport,US,N/A,Ghost Airport
Hal Joy Airfield,US,N/A,Ghost Airport
Green Acres Airport,US,N/A,Ghost Airport
Albert Lodge Heliport,US,N/A,Ghost Airport
Hayden Mountain Airport,US,N/A,Ghost Airport
Freefall Oz Airport,US,N/A,Ghost Airport
Schiavoni Heliport,US,N/A,Ghost Airport
Cherokee Island Castle Heliport,US,N/A,Ghost Airport
Glaser Field,US,N/A,Ghost Airport
Ainsworth Airport,US,N/A,Ghost Airport
Hunter Airport,US,N/A,Ghost Airport
6 Mile Airpark,US,N/A,Ghost Airport
Diamond N Ranch Airport,US,N/A,Ghost Airport
Mount Horeb Field,US,N/A,Ghost Airport
N A Degerstrom Yard Heliport,US,N/A,Ghost Airport
Western Airpark,US,N/A,Ghost Airport
J & W Windy Hill Airport,US,N/A,Ghost Airport
Campbell Field,US,N/A,Ghost Airport
Herman Municipal Airport,US,N/A,Ghost Airport
Pan Lake Strip Airport,US,N/A,Ghost Airport
St Joseph's Hospital Heliport,US,N/A,Ghost Airport
Sampson Heliport,US,N/A,Ghost Airport
Gower Field,US,N/A,Ghost Airport
Green Acres Airport,US,N/A,Ghost Airport
Ochoa Field,US,N/A,Ghost Airport
Wilding Farm Airport,US,N/A,Ghost Airport
Carr Airport,US,N/A,Ghost Airport
Metaline Radio Heliport,US,N/A,Ghost Airport
East Gig Harbor Heliport,US,N/A,Ghost Airport
Skagit Regional Health Arlington Specialty Clinic Heliport,US,N/A,Ghost Airport
Cub Acres Airport,US,N/A,Ghost Airport
Winch Airfield,US,N/A,Ghost Airport
St Croix Riviera Airport,US,N/A,Ghost Airport
Saxon Airport,US,N/A,Ghost Airport
Dolata Airport,US,N/A,Ghost Airport
Walnut Wash Airport,US,N/A,Ghost Airport
Waukesha Memorial Hospital Heliport,US,N/A,Ghost Airport
Rex Ranch Airport,US,N/A,Ghost Airport
Airwolfe Airport,US,N/A,Ghost Airport
Fountain Prairie Airport,US,N/A,Ghost Airport
Tarrant Field,US,N/A,Ghost Airport
Circle Ranch Airport,US,N/A,Ghost Airport
Zadow Airstrip,US,N/A,Ghost Airport
Baylor Scott & White Medical Center - McKinney Heliport,US,N/A,Ghost Airport
Rwave Heliport,US,N/A,Ghost Airport
Northeast Medical Center Hospital Heliport,US,N/A,Ghost Airport
Luscombe Acres Airport,US,N/A,Ghost Airport
Mullins Landing Airport,US,N/A,Ghost Airport
Eugene's Dream Airport,US,N/A,Ghost Airport
Vultures Row Airport,US,N/A,Ghost Airport
Harmony Field,US,N/A,Ghost Airport
Moorestown Airpark,US,N/A,Ghost Airport
Candlelight Heliport,US,N/A,Ghost Airport
St Helen Airport,US,N/A,Ghost Airport
Prickett-Grooms Field,US,N/A,Ghost Airport
Arness Lake Airport,US,N/A,Ghost Airport
Bangerter Field,US,N/A,Ghost Airport
Randal Field,US,N/A,Ghost Airport
Regional Public Safety Training Academy Heliport,US,N/A,Ghost Airport
Millinocket Seaplane Base,US,N/A,Ghost Airport
The Wilshire Thayer Heliport,US,N/A,Ghost Airport
Amargosa Airport,US,N/A,Ghost Airport
Greystone Heliport,US,N/A,Ghost Airport
Titus Field,US,N/A,Ghost Airport
Wee Bee Sky Ranch Airport,US,N/A,Ghost Airport
Gulf Coast Helicopters Heliport,US,N/A,Ghost Airport
Nasby Airport,US,N/A,Ghost Airport
Murphy Farms Airport,US,N/A,Ghost Airport
Lewis Airfield,US,N/A,Ghost Airport
Waste Management Inc Heliport,US,N/A,Ghost Airport
Maize Airport,US,N/A,Ghost Airport
Bannon Field,US,N/A,Ghost Airport
Vine Grove Airport,US,N/A,Ghost Airport
